Key,Mean,Median
"('ArcaneMarket', 'Mystvale')",70962.83333333333,66700.0
"('GnomeBurough', 'MYSTVALE')",85000.0,82000.0
"('CitadelQuarter', 'Shadowmere')",91300.0,85000.0
"('ArcaneMarket', 'Stormhold')",93369.0,88125.0
"('GnomeBurough', 'Wolfsbane')",95693.0,91300.0
"('CitadelQuarter', 'Brightforge')",97880.0,93369.0
"('Meadowlands', 'SHADOWMERE')",98000.0,98000.0
"('GnomeBurough', 'Starfall')",107413.46153846153,111375.0
"('Meadowlands', 'shadowmere')",112000.0,112000.0
"('GnomeBurough', 'Mystvale')",115877.55555555556,112000.0
"('Meadowlands', 'Petalbridge')",116813.0303030303,119500.0
"('GnomeBurough', 'Emberfall')",118833.33333333333,119500.0
"('GnomeBurough', 'Stormwatch')",119228.30188679245,123000.0
"('Meadowlands', 'EMBERFALL')",123000.0,123000.0
"('GnomeBurough', 'Petalbridge')",126211.71366459627,124000.0
"('Meadowlands', 'Stormwatch')",130696.52777777778,125000.0
"('Meadowlands', 'Shadowmere')",133153.60915492958,133250.0
"('Meadowlands', 'Stormhold')",134110.29411764705,135500.0
"('Meadowlands', 'Emberfall')",137030.01315789475,136200.0
"('GnomeBurough', 'Shadowmere')",138954.54545454544,137000.0
"('Meadowlands', 'Cloudrest')",139280.55555555556,137500.0
"('GnomeBurough', 'Sunspire')",141022.72727272726,140000.0
"('Meadowlands', 'emberfall')",143500.0,141000.0
"('Meadowlands', 'Dragonspire')",144447.558739255,142750.0
"('CitadelQuarter', 'Thornfield')",145000.0,143000.0
"('GnomeBurough', 'Oakenshade')",145766.66666666666,143500.0
"('CitadelQuarter', 'Stormhold')",152866.8,145000.0
"('CitadelQuarter', 'Dragonspire')",156000.0,149000.0
"('Meadowlands', 'dragonspire')",156625.0,158500.0
"('Meadowlands', 'thornfield')",158500.0,159434.0
"('Meadowlands', 'Crystalhollow')",161089.37228915663,164000.0
"('GnomeBurough', 'Crystalhollow')",171214.2857142857,177000.0
"('Meadowlands', 'Dragonspires')",178400.0,178400.0
"('Meadowlands', 'Sunspires')",183600.0,179950.0
"('Meadowlands', 'Nighthaven')",185950.94607843139,181000.0
"('Meadowlands', 'Brightforge')",186826.7894736842,181067.0
"('Meadowlands', 'Verdantia')",187125.0,183600.0
"('Meadowlands', 'BRIGHTFORGE')",188325.0,186586.0
"('Meadowlands', 'Duskwood')",189914.23484848486,188325.0
"('Meadowlands', 'Dreamweaver')",190874.36363636365,189000.0
"('Meadowlands', 'Thornfield')",193317.25373134328,194000.0
"('Meadowlands', 'THORNFIELD')",203135.0,195000.0
"('Meadowlands', 'Sunspire')",204421.2,200500.0
"('GnomeBurough', 'Silverglen')",207000.0,203135.0
"('Meadowlands', 'Windwhisper')",209652.2162162162,207000.0
"('AetherIsles', 'wyverncliff')",213833.33333333334,208950.0
"('AetherIsles', 'Wyverncliff')",218345.42592592593,222000.0
"('GnomeBurough', 'Dreamweaver')",225000.0,225000.0
"('Meadowlands', 'Ravenstone')",248929.3620689655,235750.0
"('Meadowlands', 'glimmerwood')",250000.0,250000.0
"('Meadowlands', 'Mossheart')",257467.5,250250.0
"('Meadowlands', 'Wyverncliff')",268186.4054054054,252000.0
"('GnomeBurough', 'Moonglade')",280000.0,272232.0
"('GnomeBurough', 'Thornfield')",290370.5,280000.0
"('Meadowlands', 'Silverglen')",326295.42123846157,312500.0
"('Meadowlands', 'Riverbend')",330424.88372093026,319900.0
"('Meadowlands', 'silverglen')",335453.3333333333,324500.0
"('Meadowlands', 'Glimmerwood')",337858.6666666667,336860.0
