Key,Median
"('ArcaneMarket', 'Mystvale')",66700.0
"('CitadelQuarter', 'Brightforge')",82000.0
"('GnomeBurough', 'MYSTVALE')",85000.0
"('GnomeBurough', 'Wolfsbane')",88125.0
"('CitadelQuarter', 'Shadowmere')",91300.0
"('ArcaneMarket', 'Stormhold')",93369.0
"('Meadowlands', 'SHADOWMERE')",98000.0
"('GnomeBurough', 'Starfall')",111375.0
"('Meadowlands', 'Petalbridge')",112000.0
"('Meadowlands', 'shadowmere')",112000.0
"('GnomeBurough', 'Mystvale')",119500.0
"('GnomeBurough', 'Emberfall')",119500.0
"('GnomeBurough', 'Petalbridge')",123000.0
"('Meadowlands', 'EMBERFALL')",123000.0
"('GnomeBurough', 'Stormwatch')",124000.0
"('Meadowlands', 'Shadowmere')",125000.0
"('Meadowlands', 'Stormwatch')",133250.0
"('Meadowlands', 'Emberfall')",135500.0
"('Meadowlands', 'Stormhold')",136200.0
"('GnomeBurough', 'Oakenshade')",137000.0
"('Meadowlands', 'dragonspire')",137500.0
"('GnomeBurough', 'Shadowmere')",140000.0
"('Meadowlands', 'Dragonspire')",141000.0
"('Meadowlands', 'Cloudrest')",142750.0
"('GnomeBurough', 'Sunspire')",143000.0
"('Meadowlands', 'emberfall')",143500.0
"('CitadelQuarter', 'Thornfield')",145000.0
"('Meadowlands', 'Crystalhollow')",149000.0
"('Meadowlands', 'thornfield')",158500.0
"('CitadelQuarter', 'Stormhold')",159434.0
"('GnomeBurough', 'Crystalhollow')",164000.0
"('CitadelQuarter', 'Dragonspire')",177000.0
"('Meadowlands', 'Dragonspires')",178400.0
"('Meadowlands', 'Nighthaven')",179950.0
"('Meadowlands', 'Brightforge')",181000.0
"('Meadowlands', 'Duskwood')",181067.0
"('Meadowlands', 'Sunspires')",183600.0
"('Meadowlands', 'Dreamweaver')",186586.0
"('Meadowlands', 'BRIGHTFORGE')",188325.0
"('Meadowlands', 'Verdantia')",189000.0
"('Meadowlands', 'Thornfield')",194000.0
"('Meadowlands', 'Windwhisper')",195000.0
"('Meadowlands', 'Sunspire')",200500.0
"('Meadowlands', 'THORNFIELD')",203135.0
"('GnomeBurough', 'Silverglen')",207000.0
"('AetherIsles', 'Wyverncliff')",208950.0
"('AetherIsles', 'wyverncliff')",222000.0
"('GnomeBurough', 'Dreamweaver')",225000.0
"('Meadowlands', 'Ravenstone')",235750.0
"('Meadowlands', 'glimmerwood')",250000.0
"('Meadowlands', 'Mossheart')",250250.0
"('Meadowlands', 'Wyverncliff')",252000.0
"('GnomeBurough', 'Thornfield')",272232.0
"('GnomeBurough', 'Moonglade')",280000.0
"('Meadowlands', 'Glimmerwood')",312500.0
"('Meadowlands', 'Riverbend')",319900.0
"('Meadowlands', 'Silverglen')",324500.0
"('Meadowlands', 'silverglen')",336860.0
